directory,score,clarity,accuracy
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,9,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,10,9,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,9,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,9,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-3.5-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,9,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,9,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,6,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,8,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_gpt-4-turbo_4_19_24,10,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,9,5,5
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,10,6,5
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,10,8,7
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,7,3,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,10,9,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,6,8,8
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,4,8,9
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,4,4,3
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_mistral-large-latest_4_19_24,10,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,0,1,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,7,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,6,5,2
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,4,10,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,0,9,10
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,0,0,0
C:\Users\deckerza\Desktop\Rose-Hulman\Senior_Year\Spring\GENAI\CalendarAssistant\AI_Calendar_Assistant\validation\naive\QAEasy10_open-mistral-7b_4_19_24,3,4,3
